,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
21652,2021 Conaway East,2021 ConE MS05,266,2021 ConE MC01,210,2021 ConE FS01,3,2021 ConE Hatchling,0,2021 ConE Nestling,16,2021 ConE FC06,248,5/20/2021,7/5/2021,pre,5/28/2021,5/29/2021,6/10/2021,13,6/20/2021,10,7/3/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 ConE Insect sp30-02,0,2021 ConE Insect sp31-01,130,2021 ConE Insect sp32-02,243,2021 ConE Insect sp33,181,2021 ConE PTF01,16,2021 ConE PTF,557,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,This ARU is considered a duplicate dataset of 2021 Conaway South.,,"The ARU was placed after Male Chorus started. The fainter vocalizations of Female Chatter, Hatchling Begging Calls, and the youngest Nestling Begging Calls were not picked up well using the pattern matching jobs. Because of this I performed a mini-manual analysis  where I listened to eight recordings every third day and annotated the presence of the six vocalizations of interest. Note Hatchling, Nestling, and Fledgling Begging Calls are lumped together in mini-manual analysis.",NEED,10000,Cattails with bulrush,Easement pond on Conaway Ranch south of Willow Slough. Grains are available and were heavily utilized by foraging birds in 2021 on the west side of CR102 at a corral holding sheep and goats that is 2.0 miles SW of the pond.,Yolo,Robert Meese,,,Central Sacramento Valley,2021 Conaway East,Dupe,2021 Conaway South:,3297,38.6386,-121.7070,9,,N
24652,2021 Conaway South,2021 ConS MS05,455,2021 ConS MC01,351,2021 ConS FS01,196,2021 ConS Hatchling,18,2021 ConS Nestling,297,2021 ConS FC06,222,5/20/2021,7/5/2021,5/21/2021,5/28/2021,5/28/2021,6/9/2021,12,6/23/2021,14,7/1/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 ConS Insect sp30-02,0,2021 ConS Insect sp31-01,110,2021 ConS Insect sp32-02,317,2021 ConS Insect sp33,379,2021 ConS PTF01,5,2021 ConS PTF,295,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,"Three ARUs were deployed at Conaway Ranch, and analyses from each produced similar results; the datasets are therefore considered duplicates. This dataset is treated as the core dataset because it produced the greatest number of recordings containing vocalizations of interest. The ARU was placed during Settlement. Breeding-stage vocalizations were clearly detected, including Hatchling Begging Calls followed by Fledgling Begging Calls. The sequence and timing of detections indicate a single synchronous breeding attempt, which successfully produced fledglings.",,"The ARU was placed after Male Chorus had started. Fledgling Begging Calls are not present for the entire day starting June 30th, so I have marked fledging day as June 29th, though there are a few fledglings in the recordings through July 2nd. NOTE - REMOVE MINI MANUAL TAGS HERE. THEY WERE NOT COMPLETE, AND THE ANALYSIS IS NOT NEEDED. WE AN DO THIS BY DELETING THE TAG IN THE EXCEL SHEET WE GOT FROM ARBIMON.",NEED,10000,Cattails with bulrush,Easement pond on Conaway Ranch south of Willow Slough. Grains are available and were heavily utilized by foraging birds in 2021 on the west side of CR102 at a corral holding sheep and goats that is 2.0 miles SW of the pond.,Yolo,Robert Meese,,,Central Sacramento Valley,2021 Conaway South,,,3298,38.6376,-121.7090,9,,Y
21591,2021 Conaway West,2021 Male Song ConW 2.1,476,2021 ConW MC01,319,2021 ConW FS01,8,2021 ConW Hatchling,0,2021 ConW Nestling,11,2021 ConW FC06,50,5/12/2021,6/28/2021,pre,5/20/2021,5/21/2021,6/2/2021,13,6/13/2021,11,6/26/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 ConW Insect sp30-02,0,2021 ConW Insect sp31-01,148,2021 ConW Insect sp32-02,467,2021 ConW Insect sp33,193,,X,2021 ConW PTF,569,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,This ARU is considered a duplicate dataset of 2021 Conaway South. Note that the manual analysis (daily review) was not completed evenly for this site which is causing the striped pattern in the graph.,,"The ARU was too far from the birds for robust pattern matching analysis. Both Female Chatter and Nestling Begging Call had very few validations, and Hatchling Begging Call had zero. Hatchling Begging Calls were located through manual review of recordings. Completed a mini-manual analysis as well as an intensive manual analysis by listening to six recordings from each day. All results are consistent with each other.",NEED,10000,Cattails with bulrush,Easement pond on Conaway Ranch south of Willow Slough. Grains are available and were heavily utilized by foraging birds in 2021 on the west side of CR102 at a corral holding sheep and goats that is 2.0 miles SW of the pond.,Yolo,Robert Meese,,,Central Sacramento Valley,2021 Conaway West,Dupe,2021 Conaway South:,3387,38.6390,-121.7100,9,,N
24122,2021 Dagnino Pond,2021 Dagnino pond MS01,12,2021 Dagnino Pond MC01,0,2021 Dagnino Pond Female Song 01,0,2021 Dagnino Pond Hatchling,0,2021 Dagnino Pond Nestling,0,2021 Dag Pond FC06,0,4/29/2021,7/12/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Dagnino - Insect sp30-02,0,2021 DP Insect sp31-01,52,2021 Dagnino Insect sp32-02,1006,2021 DP Insect sp33,18,,,,,2021 Dagnino RLF CS02,0,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"Only a small number of Male Song detections were present, and no detections of Female Chatter or Begging Calls were recorded. Manual review confirmed these patterns. Together, these detections indicate that birds visited the site but did not initiate breeding during the recording period. Field observations documented nesting activity prior to ARU placement; however, by the time recording began, only a few males remained, consistent with the absence of colony establishment.",,"AudioMoth ""H"", 2 weeks prior to placement of the recorder the site had a lot of Tricolored Blackbirds (audio recording 4/29/2021 10:28). Email from Amy ""4/14/2021: ""On 4/12/2021 I observed nesting behavior at one of our CNLM preserves in Alameda County.  There were about 100 birds; some of them were carrying nesting material in their beaks"". Only one Tricolored Blackbird seen at time of deployment (audio recording 4/29/2021 10:28). Email from Amy 7/14/2021: ""I'm afraid this site probably didn't pan out for our Tricolored Blackbird after all, sadly.  When I deployed, there were over 100 trikes, but by the second visit they had decamped and only a dozen remained, then finally only one lonely male who was getting chased off the marsh by RWBBs.""",53,No Colony,"Bulrush, cattails, Mustard","Approximately 4500 sq. meter stock pond within a ~400 acre grassland matrix that also hosts California Red-legged Frog, California Tiger Salamander, and seasonal waterfowl. Surrounding land uses are ranching and horse boarding. There is a shooting range nearby (you may hear shots). ",Alameda,Amy Richey,arichey@cnlm.org,"AudioMoth ""H"", 2 weeks prior to placement of the recorder the site had a lot of Tricolored Blackbirds (audio recording 4/29/2021 10:28). Email from Amy ""4/14/2021: ""On 4/12/2021 I observed nesting behavior at one of our CNLM preserves in Alameda County.  There were about 100 birds; some of them were carrying nesting material in their beaks"". Only one Tricolored Blackbird seen at time of deployment (audio recording 4/29/2021 10:28). Email from Amy 7/14/2021: ""I'm afraid this site probably didn't pan out for our Tricolored Blackbird after all, sadly.  When I deployed, there were over 100 trikes, but by the second visit they had decamped and only a dozen remained, then finally only one lonely male who was getting chased off the marsh by RWBBs.""",CNLM,2021 Dagnino Pond,,,5324,37.7459,-121.7440,180,,
21681,2021 Creed Road,2021 Creed Road  MS,476,2021 Creed Rd MC01,216,2021 Creed Road FS01,0,2021 Creed Road Hatchling,0,2021 Creed Road Nestling,0,2021 Creed Rd FC06,0,2/2/2021,5/12/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 CR Insect sp30-02,0,2021 CR Insect sp31-01,8,2021 CR Insect sp32-02,18,2021 CR Insect sp33,21,,,2021 CR PTF,676,,,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"The ARU was placed early in the breeding season. Male Song and Male Chorus detections were recorded, but Female Chatter and Begging Call detections were absent. Both automated pattern matching and manual analyses confirm that breeding was not initiated.",,Colony never established,125m,1000,Himalayan blackberry,Approximately 0.36 ha of Himalayan blackberry in the cattle field and adjacent to Creed Road. Grasslands grazed by cattle surround the site.,Solano,Wendy Schackwitz,,,Solano County,2021 Denverton Creek,,,6874,38.2410,-121.8880,12,,
24651,2021 Reeds Creek North,2021 RCN MS 5.0,88,2021 RCN MC01,18,2021 RCN FS01,130,2021 RC N Hatchling,0,2021 RC N Nestling,0,2021 RCN FC06,0,5/4/2021,5/20/2021,pre,5/5/2021,5/6/2021,ND,ND,abandoned,ND,abandoned,5/14/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 RCN Insect sp30-02,0,2021 RCN Insect sp31-01,0,2021 RCN Insect sp32-02,2,2021 RCN Insect sp33,0,,,2021 RCN PTF05,37,,,,,,,Y,Unknown,,Abandoned,n/a,n/a,n/a,The ARU was placed at the onset of Incubation. A single recording with a Hatchling Begging Call was located through manual analysis. All vocalizations ceased and colony Abandoned.,,"Colony abandoned on 14-May.  Recorder was pulled 20-May for reuse at another site. There were three consecutive days of temperatures above 90 from 11 May to 13 May which could be the reason for abandonment. There is a single recording which has a potential Tricolored Blackbird nestling vocalization, though it is brief, and I am not certain that it is truly a Tricolored Blackbird nestling. Also, there is a Red-winged Blackbird adult in this recording as well, so it could just be a Red-winged Blackbird nestling. ARU was redeployed at Conaway Ranch.",NEED,1000,"Himalayan blackberry, lettuce",This site has an extensive amount of nesting habitat with water and foraging areas.,Yuba,Robert Meese,,,Central Sacramento Valley,2021 Erle Road-Reeds Creek North,,2021 Erle Road-Reeds Creek South:,1155,39.1079,-121.5070,21,,
24653,2021 Reeds Creek South,2021 RCS MS 5.0,166,2021 RCS MC01,9,2021 RCS FS01,366,2021 RC S Hatchling,3,2021 RC S Nestling,0,2021 RCS FC06,0,5/4/2021,5/20/2021,pre,5/4/2021,5/6/2021,5/18/2021,14,post,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 RCS Insect sp30-02,0,2021 RCS Insect sp31-01,0,2021 RCS Insect sp32-02,2,2021 RCS Insect sp33,0,,,2021 RCS PTF05,10,,,,,,,,Unknown,,Unknown,n/a,n/a,n/a,"The ARU was placed at the onset of Incubation. Recordings containing Hatchling Begging Calls were detected for several days, but the ARU was removed shortly thereafter for redeployment at a larger colony. The limited duration of the deployment precluded determination of whether nestlings survived to fledging.",,"The ARU was placed right at the end of Male Chorus. Based on the density of vocalizations in the recordings this was a very small colony. The ARU was pulled on the day after the first Hatchling Begging Calls were heard, and there are only 23 recordings found with Hatchling Begging Calls. While this site was largely abandoned, we cannot be certain if the hatchlings heard survived to fledging, or if the site was abandoned altogether. The ARU was redeployed at Conaway Ranch.",NEED,1500,Himalayan blackberry,Large isolated copse of Himalayan blackberry in open rangeland ,Yuba,Robert Meese,,,Central Sacramento Valley,2021 Erle Road-Reeds Creek South,,,1155,39.1049,-121.5070,21,,
21668,2021 Foley Ranch,2021 Foley Ranch MS 5.0,715,2021 FR MC01,203,2021 Foley Ranch FS01,345,2021 Foley Ranch Hatchling,53,2021 Foley Ranch Nestling,353,2021 FR FC06,351,5/4/2021,6/14/2021,pre,5/6/2021,4/30/2021,5/12/2021,6,5/24/2021,12,6/12/2021,ND,5/23/2021,6/2/2021,5/31/2021,6/12/2021,10,post,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 FR Insect sp30-02,0,2021 FR Insect sp31-01,23,2021 FR Insect sp32-02,89,2021 FR Insect sp33,55,,,2021 FR PTF,762,,,,,,,,Sequential,,Successful,Unknown,n/a,n/a,"The ARU was placed during the transition from Settlement to Incubation. The first breeding attempt exhibited a complete sequence of recordings containing Begging Calls and successfully produced fledglings. A second breeding attempt was detected later in the season; however, the ARU was retrieved shortly after the onset of Brooding, preventing determination of whether this second attempt fledged.",,"The first bout of breeding had some asynchrony, demonstrated bythe presence of Female Chatter for seven days after the onset of Brooding. There is also evidence of a Replacement bout of breeding, though the amount of Female Chatter is very minimal, and if the breeding attempt existed beyond the date the ARU was pulled, would have resulted in only a small number of nests. The ARU was retrieved on approximately the date this second weak Replacement bout of eggs would have hatched. If the 2nd breeding bout had been productive, I estimate that Incubating started on approximately 30-May (end of Male Chorus), and Brooding started on approximately 10-Jun, and fledging on approximately 24-Jun. NOTE-THERE IS A MANUAL ANALYSIS WITH THE WRONG TAG (reviewed-WS-e) THAT NEEDS TO BE FIXED TO GET MANUAL GRAPHING TO WORK. WE CAN DO THIS WITH A SEARCH AND REPLACE IN THE CORRECT EXCEL SHEET. ITS ONLY 400 OR SO TAGS AND WOULD BE QUICK TO CLEAN UP. TO GRAPH CORRECTLY WILL NEED TO REDOWNLOAD EXCEL FROM ARBIMON.",NEED,NEED,NEED,"Bob -- this has the same GPS as 2023 Virginia at Ostrom. Is it the same site, or did the GPS coordinates get mixed up? There are no records in the TRBL Portal with ""Foley"" in the name",Yuba,Robert Meese,,,Central Sacramento Valley,2021 Foley Ranch,,,2958,39.0769,-121.4940,21,,Y
21688,2021 Hale Road 2,2021 Hale Rd 2 MS 5.0,530,2021 HR2 MC01,0,2021 Hale Rd 2 FS01,455,2021 Hale Road 2 Hatchling,105,2021 Hale Road 2 Nestling,536,2021 HR 2 FC06,170,5/4/2021,6/14/2021,pre,pre,5/1/2021,5/13/2021,ND,5/28/2021,15,6/3/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 HR2 Insect sp30-02,0,2021 HR2 Insect sp31-01,0,2021 HR2 Insect sp32-02,3,2021 HR2 Insect sp33,0,,,2021 HR2 PTF,174,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"The ARU was placed during Incubation. Hatchling, Nestling and Fledgling Begging Calls occurred in the expected temporal order for a Simple synchronous breeding attempt. The extension of Female Chatter during brooding followed by an extension of Nestling Begging Calls indicate that there was some asynchronous nesting. The breeding attempt was classified as Successful based on the presence of Fledgling Begging Calls.",,"Incubation onset was likely just prior to placement of the ARU, and no Male Chorus was detected. Pattern matching worked very well and even Hatchling Begging Calls were detected. ",NEED,7000,"Himalayan blackberry, bulrush","A complex of Himalayan blackberries, tules, and cattails just north of Hale Road on private property that is owned by a lumber company with a defunct sawmill nearby. Birds may fly to the nearby Staas Dairy for grains stored in the commodity barns.",Yuba,Robert Meese,,,Central Sacramento Valley,2021 Hale Road 2,,,2957,39.0839,-121.5160,18,,Y
11101,2021 Hay Landfill,2021 HL MS,1181,2021 HL MC01,1310,2021 HL FS01,60,2021 Hay Landfill Hatchling,0,2021 Hay Landfill Nestling,8,2021 HL FC06,0,2/2/2021,5/8/2021,3/31/2021,4/20/2021,4/12/2021,4/24/2021,4,post,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 HL Insect sp30-02,0,2021 HL Insect sp31-01,1,2021 HL Insect sp32-02,34,2021 HL Insect sp33,0,,,2021 HL PTF,404,,,,,,,Y,Unknown,,Unknown,n/a,n/a,n/a,"The ARU was placed early in the season and ceased recording fifteen days after the onset of Brooding. A single recording containing a Fledgling Begging Call was detected prior to battery failure; because the typical age at fledging is approximately fourteen days, this breeding attempt was classified as Successful. Female Chatter detections persisted for at least fifteen days after the onset of Brooding, indicating an Asynchronous colony type.",,Recorder battery died shortly after nestlings hatched. This was an asynchronous colony evidenced by the continued female song after first hatching.,0m,4000,"Bulrush, cattails","A mitigation pond adjacent to the Hay Road Landfill. The colony nested in a 7.0-ha, water-managed pond containing bulrush. covering approximately 25% of the pond. The colony is surrounded by agricultural land and grassland on the eastern, western, and southern borders and a landfill on the northern border. A heavily traveled highway borders the eastern edge.",Solano,Wendy Schackwitz,,,Solano County,2021 Hay Landfill,,,5970,38.3060,-121.8250,6,,
24658,2021 Iron Point,2021 IP MS 5.0,296,2021 IP MC01,308,2021 IP FS01,13,2021 IP Hatchling,0,2021 IP Nestling,0,2021 IP FC06,0,2/2/2021,5/14/2021,4/3/2021,4/19/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 IP Insect sp30-02,0,2021 IP Insect sp31-01,0,2021 IP Insect sp32-02,13,2021 IP Insect sp33,0,,,,,,,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"Recordings containing Female Chatter occurred toward the end of the period of Male Chorus detections, indicating initiation of nest-building activity. However, Female Chatter was detected in four or more recordings on only a single day, which does not meet the criteria for colony establishment (detections in four or more recordings on four separate days) as defined in the Methods. No nestling-stage vocalizations were detected, consistent with the absence of colony establishment",,"Abandoned, battery ran out on last days so just spot checked on recordings I did have to confirm lack of presence, males were showing up off and on starting in Feb, so I didn't have to do all as edge I cherry picked recordings with the MC present, these are just marked as reviewed-WS. Females only sang for a couple of days before colony abandoned. There were isolated Tricolored Blackbird vocalizations after 4/22/2021, but these were scarce after 4/22.",15,No Colony,"Himalayan blackberry, willow","A 0.2-ha patch of Himalayan blackberry in a small area designated as open space surrounded by roadways, commercial stores, parking lots, and a housing development. ",Sacramento,Emilie Graves? Jennifer Brown?,,,Iron Point,2021 Iron Point,,,6708,38.6470,-121.1040,172,,
24606,2021 Kern 1,2021 Kern 1 MS02,92,2021 K1 MC01,45,2021 Kern 1 Female Song 01,0,2021 Kern 1 Hatchling,0,2021 Kern 1 Nestling,0,2021 Kern 1 FC06,0,4/9/2021,8/5/2021,4/29/2021,5/22/2021,5/20/2021,6/1/2021,10,ND,ND,~6/23/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 1 Insect sp30-02,21,2021 Kern 1 Insect sp31-01,142,2021 Kern 1 Insect sp32-02,400,2021 Kern 1 Insect sp33,7,,,,,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,"Female Chatter and Begging Call detections were not identified through automated pattern matching; however, manual review detected a limited number of Begging Call detections that persisted long enough to indicate that young successfully left the nest, and the breeding attempt was therefore classified as Successful. Breeding-stage dates were assigned based on the first detected vocalizations; however, because detections were sparse, the true onset of breeding stages likely occurred earlier, and reported dates should be considered approximate. Begging Call detections on 31 May lacked lower-frequency components, consistent with very young hatchlings and indicating that hatching likely occurred only one to two days prior to detection.",,"Manual, due to the scarceity of vocalizations reported dates are very apporximate. There are more manually analyzed recordings than in the graphs. They are tagged ""reviewed-WS"". Also called hatch day for the colony with only 2 rec=present due to small size of the colony. There were 2 recordings with Male Chorus that are timed correctly with Onset of Incubation, so I am using these as the dates. With more manual analysis by listening to more recordings I might be able to firm this up, but only do after all others. So few birds there was never a male chorus mid-day. There were a couple of mornings with Male Chorus at 8am.",2,NEED,"Stinging nettle, mulefat","Natural riparian forest with the Tricolored Blackbird colony located in a patch of mulefat and stinging nettle. The colony is surrounded by red willows in the north and west, and by a pasture to the east. The ARU was placed on a T-post in an opening adjacent to the colony at 2 m high.",Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 1,,,8142,35.6770,-118.2700,815,,N
24544,2021 Kern 2,2021 Kern 2 MS02,24,2021 K2 MC01,0,2021 K2 FS,0,2021 Kern 2 Hatchling,0,2021 Kern 2 Nestling,0,2021 Kern 2 FC06,0,4/6/2021,7/30/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 2 Insect sp30-02,0,2021 Kern 2 Insect sp31-01,235,2021 Kern 2 Insect sp32-02,827,2021 Kern 2 Insect sp33,195,,,,,,,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"Only sporadic Male Song detections were recorded, with no detections of Female Chatter or Begging Calls. Manual review confirmed the absence of breeding activity during the deployment.",,Manual,5,No Colony,Cattails,"Patch of cattails about 70 m long x 8 m wide, along a water channel in a mixed pasture/marsh. The patch is 40 m west of city road. The birds share the patch with Red-winged Blackbird, Brown-headed Cowbird, Great-tailed Grackle, and European Starling (looks like the European Starling use the patch only for roosting).",Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 2,,,7882,35.6200,-118.4760,756,,
24641,2021 Kern 3,2021 Kern 3 MS02,12,2021 K3 MC01,0,2021 Kern 3 FS01,0,2021 Kern 3 Hatchling,0,2021 Kern 3 Nestling,0,2021 Kern 3 FC06,0,4/6/2021,8/5/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 3 Insect sp30-02,20,2021 Kern 3 Insect sp31-01,28,2021 Kern 3 Insect sp32-02,95,2021 Kern 3 Insect sp33,55,,,,,,,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"Only sporadic Male Song detections were recorded, with no detections of Female Chatter or Begging Calls. Manual review confirmed the absence of breeding activity during the deployment.",,Manual,40,No Colony,Bulrush,"Bulrush pond surrounded by red willows at south, southwest, north, northeast, and east. Surrounded by rabbitbrush at west and northwest. Adjacent to the rabbitbrush, there are large Fremont cottonwood trees, 20 m tall.",Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 3,,,8030,35.7310,-118.1720,862,,
24655,2021 Kern 4,2021 Kern4 MS01,153,2021 K4 MC01,97,2021 Kern4 Female Song 03,23,2021 Kern 4 Hatchling,0,2021 Kern 4 Nestling,16,2021 Kern 4 FC06,0,4/19/2021,8/10/2021,4/27/2021,5/1/2021,5/12/2021,5/24/2021,23,~5/31/2021,7,~6/11/2021,5/7/2021P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 4 sp30-02,52,2021 Kern 4 Insect sp31-01,16,2021 Kern 4 Insect sp32-02,297,2021 Kern 4 Insect sp33,102,,,2021 K4 PTF,1158,,,,,,,Y,Simple,,Partially Abandoned,n/a,n/a,n/a,"Tricolored Blackbird vocal detections were present in only a small number of recordings, resulting in reduced confidence in the assignment of breeding-stage dates. Dates were assigned based on the first detected vocalization; however, because detections were infrequent, the true onset of breeding stages likely occurred earlier and reported dates should be considered approximate. For example, the first Begging Call detections, recorded on 22 May, contained low-frequency components (~3 kHz) characteristic of older nestlings, indicating that hatching had occurred several days prior to detection. The ARI score for this breeding attempt was 0.05, corresponding to classification as Partially Abandoned.",,Manual. This colony was extremely small. The dates are extremely rough and based on just a few recordings which contained Tricolored Blackbird vocalizations. Male Chorus was never robust. I set hatch date for the colony based on last Female Song. Tagged recordings failed to detect the youngest nestlings. However I did loacte a few that I am certain of on 5/8 and 5/10.,15,NEED,Stinging nettle,"A patch of stinging nettle (old and new), next to a young copse of skinny Fremont cottonwoods to the north and a pasture in the south. The ARU was placed in a cottonwood at 2.2 m high.",Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 4,,,7854,35.6660,-118.3070,805,,Y
26534,2021 Kern 5,2021 Kern 5 K1MS02,401,2021 K5 MC01,36,2021 Kern 5 FS01,334,2021 Kern 5 Hatchling,65,2021 Kern 5 Nestling,870,2021 Kern 5 FC06,443,4/27/2021,8/17/2021,pre,pre,4/17/2021,4/29/2021,ND,5/18/2021,19,6/1/2021,ND,ND,ND,ND,ND,ND,6/9/2021,ND,6/16/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 5 Insect sp30-02,278,2021 Kern 5 Insect sp31-01,1,2021 Kern 5 Insect sp32-02,35,2021 Kern 5 Insect sp33,45,,,2021 K5 PTF,641,,,,,,,,Complex,"Asynchronous, Sequential",Successful,Successful,n/a,n/a,"Female Chatter detections persisted well beyond the onset of Brooding, indicating Asynchronous nest initiation. Two temporally distinct pulses of Fledgling Begging Call detections were recorded, indicating two breeding attempts. The combination of asynchrony and sequential breeding attempts supports classification of this colony as Complex. Recordings containing Fledgling Begging Calls were detected for both attempts, and both were therefore classified as Successful.","Female Chatter persisted well beyond the onset of Brooding, consistent with asynchronous nest initiation. Two distinct pulses of Hatchling, Nestling, and Fledgling Begging Calls were detected, indicating two temporally separated breeding attempts. The fact that this colony exhibited both Asynchrony and a Multiple colony type support classification as Complex. Fledgling Begging Calls confirm successful reproduction in both attempts.","Asynchronous, if there was Male Chorus it was before recorder was placed. Appears to be a continuosly nesting colony in that there is no pulsing to the Female Song and Female Song continues for a long time after fisrst hatchlings are heard. There are two rounds of fledgling dispersal. One on 6/1 and the other on 6/16. Of course uncertain if the gap is caused by the creche leaving and returning or if it is a second group of late hatchers that make up the second pulse of Fledglings.",0,NEED,Himalayan blackberry,"A Himalayan blackberry patch, 20 m long x 5 m wide, adjacent to a paved highway in a public right of way. There is a water channel and pasture with cows present adjacent to the blackberry patch to the north. The ARU was placed inside the colony, on the east side, at 1 m high. The ARU will record significant road noise at this site.",Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 5,,,7911,35.6600,-118.3120,803,,Y
26535,2021 Kern 6,2021 Kern 6 K1MS02,0,2021 K6 MC01,0,2021 Kern 6 FS01,0,2021 Kern 6 Hatchling,0,2021 Kern 6 Nestling,0,2021 Kern 6 FC06,0,5/1/2021,8/21/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 6 Insect sp30-02,6,2021 Kern 6 Insect sp31-01,266,2021 Kern 6 Insect sp32-02,689,2021 Kern 6 Insect sp33,150,,,,,,,,,,,Y,No TRBL,,No TRBL,n/a,n/a,n/a,,"Neither automated nor manual analyses detected any Tricolored Blackbird vocalizations, indicating absence of birds at the site during the recording window.","Manual, accidentlly did every day rather than every third",30,No Colony,Cattails,Small pond with dormant cattails. The landowner mentioned raccoon predators in previous years. ,Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 6,,,7880,35.3955,-118.4490,1150,,
