Site_ID,Site_Name,Pulse_Name,Outcome,ARI_Status,ARI_Class,ARI_Class_Threshold,ARI_Female_Denominator_Confidence,Breeding_Type,Complex_Types,Hatch_Date,Substrate,Colony_Size,Deployment_Start,Deployment_End,ARI_Window_Female_Start,ARI_Window_Female_End,Incubation_Days,ARI_Total_Female_Recordings,Female_Detection_Recordings,Female_Detection_Rate,ARI_Window_Nestling_Start,ARI_Window_Nestling_End,Nestling_Days,ARI_Total_Nestling_Recordings,Nestling_Detection_Recordings,Nestling_Detection_Rate,ARI,Fledgling_Window_Start,Fledgling_Window_End,Fledgling_Days,Fledgling_Total_Recordings,Fledgling_Detection_Recordings,Fledgling_Detection_Rate,Fledglings_Present,Latest_Fledgling_Rec
82621,2018 SJWA WSS,2018 SJWA Little Ramona p1,Abandoned,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Moderate female denominator,Unknown,,~2018-04-30,"Bulrush, cattails",30000,2018-04-02,2018-05-01,2018-04-21,2018-04-27,7,273,7,0.026,2018-05-05,2018-05-01,0,0,0,0.0,,2018-05-09,2018-05-01,0,0,0,0.0,No,ND
5642,2019 Colusa NWR 27-1,2019 Colusa NWR T27-1N p1,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Simple,,NHD,"Bulrush, cattails",20000,2019-05-27,2019-08-12,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
5643,2019 Colusa NWR 27-2,2019 Colusa NWR T27-2S p1,Partially Abandoned,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Simple,,2019-05-29,"Bulrush, cattails",200,2019-05-21,2019-06-18,2019-05-21,2019-05-26,6,206,25,0.121,2019-06-03,2019-06-09,7,248,2,0.008,0.066,2019-06-07,2019-06-14,8,291,1,0.003,Yes,2019-06-14
4455,2019 Creed Road,2019 Denverton Creek p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Sequential,,2019-05-10,Himalayan blackberry,1000,2019-03-17,2019-07-07,2019-05-01,2019-05-07,7,287,57,0.199,2019-05-15,2019-05-21,7,287,38,0.132,0.663,2019-05-19,2019-05-26,8,328,69,0.21,Yes,2019-05-26
4455,2019 Creed Road,2019 Denverton Creek p2,Abandoned,OK,No detected offspring acoustic evidence,0.5,Low female denominator,Sequential,,~2019-06-04,Himalayan blackberry,1000,2019-03-17,2019-07-07,2019-05-26,2019-06-01,7,285,5,0.018,2019-06-09,2019-06-15,7,287,0,0.0,0.0,2019-06-13,2019-06-20,8,328,0,0.0,No,ND
4456,2019 Hay Landfill,2019 Hay Landfill p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Sequential,,2019-04-27,"Bulrush, cattails",4000,2019-04-08,2019-07-07,2019-04-18,2019-04-24,7,287,90,0.314,2019-05-02,2019-05-08,7,287,60,0.209,0.666,2019-05-06,2019-05-13,8,328,9,0.027,Yes,2019-05-13
4456,2019 Hay Landfill,2019 Hay Landfill p2,Partially Abandoned,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Sequential,,2019-06-09,"Bulrush, cattails",4000,2019-04-08,2019-07-07,2019-05-31,2019-06-06,7,287,44,0.153,2019-06-14,2019-06-20,7,287,1,0.003,0.02,2019-06-18,2019-06-25,8,328,9,0.027,Yes,2019-06-25
4979,2019 Iron Point,2019 Iron Point p1,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Complex,"Asynchronous, Sequential",2019-05-03,Himalayan blackberry,1500,2019-04-24,2019-08-01,2019-04-24,2019-04-30,7,244,137,0.561,2019-05-08,2019-05-14,7,272,36,0.132,,2019-05-12,2019-05-19,8,310,128,0.413,Yes,2019-05-19
4979,2019 Iron Point,2019 Iron Point p2,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Moderate female denominator,Complex,"Asynchronous, Sequential",~2019-06-14,Himalayan blackberry,1500,2019-04-24,2019-08-01,2019-06-05,2019-06-11,7,272,16,0.059,2019-06-19,2019-06-25,7,273,56,0.205,,2019-06-23,2019-06-30,8,312,224,0.718,Yes,2019-06-30
4979,2019 Iron Point,2019 Iron Point p3,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Complex,"Asynchronous, Sequential",2019-06-10,Himalayan blackberry,1500,2019-04-24,2019-08-01,2019-06-01,2019-06-07,7,272,60,0.221,2019-06-15,2019-06-21,7,273,109,0.399,,2019-06-19,2019-06-26,8,312,194,0.622,Yes,2019-06-26
4639,2019 Leisure Town,2019 Leisure Town Road p1,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Sequential,,NHD,"Bulrush, cattails",2000,2019-03-17,2019-07-07,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
4639,2019 Leisure Town,2019 Leisure Town Road p2,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Sequential,,NHD,"Bulrush, cattails",2000,2019-03-17,2019-07-07,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
5637,2019 Markham Ravine,2019 Markham Ravine p1,Partially Abandoned,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Simple,,2019-05-28,"Himalayan blackberry, willow",1500,2019-05-10,2019-07-08,2019-05-19,2019-05-25,7,273,157,0.575,2019-06-02,2019-06-08,7,273,50,0.183,0.318,2019-06-06,2019-06-13,8,312,1,0.003,Yes,2019-06-12
5640,2019 Markham Ravine 2,2019 Markham Ravine 2 p1,Partially Abandoned,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Simple,,2019-05-31,"Himalayan blackberry, willow",10000,2019-05-10,2019-07-08,2019-05-22,2019-05-28,7,273,110,0.403,2019-06-05,2019-06-11,7,273,18,0.066,0.164,2019-06-09,2019-06-16,8,312,2,0.006,Yes,2019-06-11
5638,2019 Rush Ranch,2019 Rush Ranch p1,Abandoned,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Moderate female denominator,Unknown,,2019-05-21,"Bulrush, cattails",500,2019-02-06,2019-07-06,2019-05-12,2019-05-18,7,273,17,0.062,2019-05-26,2019-06-01,7,273,0,0.0,,2019-05-30,2019-06-06,8,312,0,0.0,No,ND
7657,2020 Conaway Ranch,2020 Conaway Ranch p1,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Moderate female denominator,Asynchronous,,2020-06-06,Cattails with bulrush,19000,2020-05-18,2020-07-10,2020-05-28,2020-06-03,7,259,7,0.027,2020-06-11,2020-06-17,7,259,0,0.0,,2020-06-15,2020-06-22,8,296,35,0.118,Yes,2020-06-22
2908,2020 Creed Road,2020 Denverton Creek p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,Himalayan blackberry,1000,2020-02-12,2020-07-11,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
57589,2020 Fort Ord,2020 Fort Ord p1,Successful,OK,High offspring acoustic activity,0.5,Moderate female denominator,Simple,,2020-04-24,"Stinging nettle (Urtica spp.), Poison hemlock (Conium maculatum)",No Colony,2020-04-08,2020-07-15,2020-04-15,2020-04-21,7,259,19,0.073,2020-04-29,2020-05-05,7,259,78,0.301,4.123,2020-05-03,2020-05-10,8,296,12,0.041,Yes,2020-05-10
6199,2020 Hay Landfill,2020 Hay Landfill p1,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Moderate female denominator,Asynchronous,,2020-04-27,"Bulrush, cattails",4000,2020-02-12,2020-07-10,2020-04-18,2020-04-24,7,112,13,0.116,2020-05-02,2020-05-08,7,112,18,0.161,,2020-05-06,2020-05-13,8,128,21,0.164,Yes,2020-05-13
6199,2020 Hay Landfill,2020 Hay Landfill p2,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Asynchronous,,NHD,"Bulrush, cattails",4000,2020-02-12,2020-07-10,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
7650,2020 Iron Point,2020 Iron Point p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,Himalayan blackberry,No Colony,2020-04-19,2020-08-05,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
6404,2020 Markham Ravine,2020 Markham Ravine p1,Partially Abandoned,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Simple,,2020-05-19,"Himalayan blackberry, willow",1000,2020-04-28,2020-06-24,2020-05-10,2020-05-16,7,259,198,0.764,2020-05-24,2020-05-30,7,259,42,0.162,0.212,2020-05-28,2020-06-04,8,283,8,0.028,Yes,2020-06-04
2915,2020 Rush Ranch,2020 Rush Ranch p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,"Bulrush, cattails",No Colony,2020-02-12,2020-07-10,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
18572,2020 Ohlone - Santa Lucia Preserve,2020 Santa Lucia Preserve - Ohlone Pond p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,~2020-05-02,Bulrush (Schoenoplectus spp.),80,2020-03-25,2020-07-18,2020-04-23,2020-04-29,7,111,38,0.342,2020-05-07,2020-05-13,7,112,46,0.411,1.202,2020-05-11,2020-05-18,8,128,39,0.305,Yes,2020-05-18
24130,2021 Colusa NWR 27-1,2021 Colusa NWR T27-1&2 p1,Successful,OK,High offspring acoustic activity,0.5,Moderate female denominator,Simple,,~2021-06-02,"Bulrush, cattails",Unknown,2021-04-21,2021-06-26,2021-05-24,2021-05-30,7,546,11,0.02,2021-06-07,2021-06-13,7,534,23,0.043,2.15,2021-06-11,2021-06-18,8,580,6,0.01,Yes,2021-06-16
24221,2021 Colusa NWR 27-2,2021 Colusa NWR T27-2S p1,Unknown,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,~2021-06-13,"Bulrush, cattails",10000,2021-04-21,2021-06-21,2021-06-04,2021-06-10,7,546,66,0.121,2021-06-18,2021-06-21,4,239,0,0.0,,2021-06-22,2021-06-21,0,0,0,0.0,No,ND
21652,2021 Conaway East,2021 Conaway East p1,Successful,OK,High offspring acoustic activity,0.5,Low female denominator,Simple,,2021-06-11,Cattails with bulrush,10000,2021-05-20,2021-07-05,2021-06-02,2021-06-08,7,273,1,0.004,2021-06-16,2021-06-22,7,273,7,0.026,6.5,2021-06-20,2021-06-27,8,312,125,0.401,Yes,2021-06-27
24652,2021 Conaway South,2021 Conaway South p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2021-06-10,Cattails with bulrush,10000,2021-05-20,2021-07-05,2021-06-01,2021-06-07,7,273,85,0.311,2021-06-15,2021-06-21,7,273,112,0.41,1.318,2021-06-19,2021-06-26,8,312,93,0.298,Yes,2021-06-26
21591,2021 Conaway West,2021 Conaway West p1,Successful,OK,High offspring acoustic activity,0.5,Low female denominator,Simple,,2021-06-02,Cattails with bulrush,10000,2021-05-12,2021-06-28,2021-05-24,2021-05-30,7,273,1,0.004,2021-06-07,2021-06-13,7,273,8,0.029,7.25,2021-06-11,2021-06-18,8,312,13,0.042,Yes,2021-06-18
24122,2021 Dagnino Pond,2021 Dagnino Pond p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,"Bulrush, cattails, Mustard",No Colony,2021-04-29,2021-07-12,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
21681,2021 Creed Road,2021 Denverton Creek p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,Himalayan blackberry,1000,2021-02-02,2021-05-12,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24651,2021 Reeds Creek North,2021 Erle Road-Reeds Creek North p1,Abandoned,NHD,Not ARI-scorable,0.5,Not evaluated,Unknown,,NHD,"Himalayan blackberry, lettuce",1000,2021-05-04,2021-05-20,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24653,2021 Reeds Creek South,2021 Erle Road-Reeds Creek South p1,Unknown,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2021-05-18,Himalayan blackberry,1500,2021-05-04,2021-05-20,2021-05-09,2021-05-15,7,273,161,0.59,2021-05-23,2021-05-20,0,0,0,0.0,,2021-05-27,2021-05-20,0,0,0,0.0,No,ND
21668,2021 Foley Ranch,2021 Virginia at Ostrom p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Sequential,,2021-05-12,Himalayan blackberry,10000,2021-05-04,2021-06-14,2021-05-03,2021-05-09,7,217,122,0.562,2021-05-17,2021-05-23,7,273,191,0.7,1.246,2021-05-21,2021-05-28,8,312,41,0.131,Yes,2021-05-28
21668,2021 Foley Ranch,2021 Virginia at Ostrom p2,Unknown,ND_INSUFFICIENT_DAYS,Not ARI-scorable,0.5,Moderate female denominator,Sequential,,2021-06-13,Himalayan blackberry,10000,2021-05-04,2021-06-14,2021-06-04,2021-06-10,7,273,11,0.04,2021-06-18,2021-06-14,0,0,0,0.0,,2021-06-22,2021-06-14,0,0,0,0.0,No,ND
21688,2021 Hale Road 2,2021 Hale Road 2 p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2021-05-14,"Himalayan blackberry, bulrush",7000,2021-05-04,2021-06-14,2021-05-05,2021-05-11,7,273,196,0.718,2021-05-19,2021-05-25,7,273,206,0.755,1.052,2021-05-23,2021-05-30,8,312,38,0.122,Yes,2021-05-30
11101,2021 Hay Landfill,2021 Hay Landfill p1,Unknown,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2021-04-25,"Bulrush, cattails",4000,2021-02-02,2021-05-08,2021-04-16,2021-04-22,7,252,30,0.119,2021-04-30,2021-05-05,6,59,5,0.085,,2021-05-04,2021-05-05,2,16,0,0.0,No,ND
24658,2021 Iron Point,2021 Iron Point p1,Abandoned,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,No female denominator,Unknown,,~2021-05-04,Himalayan blackberry,No Colony,2021-02-02,2021-05-14,2021-04-25,2021-05-01,7,266,0,0.0,2021-05-09,2021-05-14,6,139,0,0.0,,2021-05-13,2021-05-14,2,30,0,0.0,No,ND
24606,2021 Kern 1,2021 Kern 1 p1,Successful,ND_NO_FEMALE_CALLS,Not ARI-scorable,0.5,No female denominator,Simple,,2021-06-01,"Stinging nettle, mulefat",NEED,2021-04-09,2021-08-05,2021-05-23,2021-05-29,7,273,0,0.0,2021-06-06,2021-06-12,7,273,0,0.0,,2021-06-10,2021-06-17,8,312,0,0.0,No,ND
24544,2021 Kern 2,2021 Kern 2 p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,Cattails,No Colony,2021-04-06,2021-07-30,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24641,2021 Kern 3,2021 Kern 3 p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,Bulrush,No Colony,2021-04-06,2021-08-05,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24655,2021 Kern 4,2021 Kern 4 p1,Partially Abandoned,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Simple,,~2021-05-13,Stinging nettle,NEED,2021-04-19,2021-08-10,2021-05-04,2021-05-10,7,273,36,0.132,2021-05-18,2021-05-24,7,273,3,0.011,0.083,2021-05-22,2021-05-29,8,312,0,0.0,No,ND
26534,2021 Kern 5,2021 Kern 5 p1,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,No female denominator,Complex,"Asynchronous, Sequential",~2021-04-25,Himalayan blackberry,NEED,2021-04-27,2021-08-17,2021-04-16,2021-04-22,7,0,0,0.0,2021-04-30,2021-05-06,7,273,87,0.319,,2021-05-04,2021-05-11,8,312,0,0.0,No,ND
26534,2021 Kern 5,2021 Kern 5 p2,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Complex,"Asynchronous, Sequential",NHD,Himalayan blackberry,NEED,2021-04-27,2021-08-17,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
26535,2021 Kern 6,2021 Kern 6 p1,No TRBL,NHD,Not ARI-scorable,0.5,Not evaluated,No TRBL,,NHD,Cattails,No Colony,2021-05-01,2021-08-21,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
26536,2021 Kern 7,2021 Kern 7 p1,Abandoned,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2021-05-31,Stinging nettle,NEED,2021-05-17,2021-09-01,2021-05-22,2021-05-28,7,273,29,0.106,2021-06-05,2021-06-11,7,273,0,0.0,,2021-06-09,2021-06-16,8,312,0,0.0,No,ND
26432,2021 Markham Ravine,2021 Markham Ravine p1,No TRBL,NHD,Not ARI-scorable,0.5,Not evaluated,No TRBL,,NHD,"Himalayan blackberry, willow",No Colony,2021-04-30,2021-06-23,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24252,2021 Orchard Creek,2021 Orchard Creek p1,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Additions,,2021-05-01,Himalayan blackberry,2500,2021-04-19,2021-07-04,2021-04-22,2021-04-28,7,273,101,0.37,2021-05-06,2021-05-12,7,273,50,0.183,,2021-05-10,2021-05-17,8,312,37,0.119,Yes,2021-05-17
24252,2021 Orchard Creek,2021 Orchard Creek p2,Successful,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Additions,,2021-05-25,Himalayan blackberry,2500,2021-04-19,2021-07-04,2021-05-16,2021-05-22,7,273,110,0.403,2021-05-30,2021-06-05,7,273,211,0.773,,2021-06-03,2021-06-10,8,312,115,0.369,Yes,2021-06-10
24233,2021 Panoche Creek Preserve 1W,2021 Panoche Creek Marsh East 1 p1,Partially Abandoned,OK,No detected offspring acoustic evidence,0.5,Stable female denominator,Simple,,2021-05-04,Cattails,3500,2021-04-01,2021-07-14,2021-04-25,2021-05-01,7,273,86,0.315,2021-05-09,2021-05-15,7,273,0,0.0,0.0,2021-05-13,2021-05-20,8,312,0,0.0,No,ND
24232,2021 Panoche Creek Preserve 2E,2021 Panoche Creek Marsh East 2 p1,Successful,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Simple,,2021-05-02,Cattails,3500,2021-04-01,2021-07-14,2021-04-23,2021-04-29,7,273,123,0.451,2021-05-07,2021-05-13,7,273,41,0.15,0.333,2021-05-11,2021-05-18,8,312,14,0.045,Yes,2021-05-18
21537,2021 Plumas Arboga,2021 Plumas Arboga p1,Unknown,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2021-05-27,Cattails with Himalayan blackberry,2000,2021-05-14,2021-06-04,2021-05-18,2021-05-24,7,273,145,0.531,2021-06-01,2021-06-04,4,136,42,0.309,,2021-06-05,2021-06-04,0,0,0,0.0,No,ND
24119,2021 Rancho Jamul,2021 Rancho Jamul p1,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Asynchronous,,NHD,"Cattails, bulrush or tule",NEED,2021-03-19,2021-06-05,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24231,2021 Rodeo Grounds 1,2021 Rodeo Grounds p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2021-05-02,Himalayan blackberry,40,2021-04-19,2021-06-13,2021-04-23,2021-04-29,7,273,210,0.769,2021-05-07,2021-05-13,7,273,197,0.722,0.939,2021-05-11,2021-05-18,8,312,147,0.471,Yes,2021-05-18
24549,2021 Rush Ranch,2021 Rush Ranch p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,No Colony,No Colony,2021-02-02,2021-05-13,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
25171,2021 SJWA,2021 San Jacinto Wildlife Area - Bridge Street Pond p1,Abandoned,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2021-06-15,"Bulrush, cattails",500,2021-06-02,2021-06-30,2021-06-06,2021-06-12,7,273,97,0.355,2021-06-20,2021-06-26,7,273,10,0.037,,2021-06-24,2021-06-30,7,252,0,0.0,No,ND
11100,2021 Sedgwick,2021 Sedgwick Reserve Pond p1,Unknown,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2021-04-28,Cattails,250,2021-03-06,2021-05-06,2021-04-19,2021-04-25,7,203,36,0.177,2021-05-03,2021-05-04,2,6,27,4.5,,2021-05-07,2021-05-04,0,0,0,0.0,No,ND
24107,2021 Willey Wetlands 1,2021 Willey Wetlands 1 p1,Successful,ND_NO_FEMALE_CALLS,Not ARI-scorable,0.5,No female denominator,Simple,,2021-06-20,"Bulrush, cattails",300,2021-06-10,2021-08-17,2021-06-11,2021-06-17,7,273,0,0.0,2021-06-25,2021-07-01,7,273,45,0.165,,2021-06-29,2021-07-06,8,312,1,0.003,Yes,2021-07-02
24261,2021 Willey Wetlands 2,2021 Willey Wetlands 2 p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2021-06-14,"Bulrush, cattails",300,2021-06-10,2021-08-17,2021-06-05,2021-06-11,7,71,27,0.38,2021-06-19,2021-06-25,7,273,147,0.538,1.416,2021-06-23,2021-06-30,8,312,73,0.234,Yes,2021-06-30
24263,2021 Willey Wetlands 3,2021 Willey Wetlands 3 p1,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Simple,,NHD,"Bulrush, cattails",300,2021-06-10,2021-08-15,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
24790,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2021-05-14,Stinging nettle,NEED,2021-04-14,2021-07-20,2021-05-05,2021-05-11,7,273,107,0.392,2021-05-19,2021-05-25,7,143,39,0.273,0.696,2021-05-23,2021-05-30,8,312,25,0.08,Yes,2021-05-30
34485,2022 Baja 1,2022 Baja Ciénega Redonda North p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2022-04-14,Cattails,350,2022-03-23,2022-07-12,2022-04-05,2022-04-11,7,273,34,0.125,2022-04-19,2022-04-25,7,273,79,0.289,2.312,2022-04-23,2022-04-30,8,311,24,0.077,Yes,2022-04-30
53136,2022 Baja 2,2022 Baja Ciénega Redonda North 2 p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2022-04-15,Cattails,350,2022-03-23,2022-07-17,2022-04-06,2022-04-12,7,273,24,0.088,2022-04-20,2022-04-26,7,272,120,0.441,5.011,2022-04-24,2022-05-01,8,312,32,0.103,Yes,2022-05-01
