2024 Ohlone - Santa Lucia Preserve,"First: On or before 04/10
Last: 04/17","First: 04/20
Last: 04/25","First: 05/05
Last: 05/10","First: 05/06
Last: 05/18","First: 05/18
Last: 05/22",No data,No data,No data,No data,"First: 06/29
Last: On or after 07/01"
2024 Panoche Creek Preserve - Dollar Marsh East - fix lat lon,"First: On or before 04/15
Last: 04/24","First: 04/17
Last: 05/10","First: 05/02
Last: 05/09","First: 05/04
Last: 05/19","First: 05/12
Last: 05/30",No data,No data,No data,"First: 06/10
Last: 06/11",No data
2024 Panoche Creek Preserve - Dollar Marsh South - fix lat lon,"First: On or before 04/16
Last: 04/20","First: 04/19
Last: 05/09","First: 05/04
Last: 05/13","First: 05/05
Last: 05/19","First: 05/18
Last: 05/20"
2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,"First: 04/16
Last: 04/20","First: 04/17
Last: 04/17","First: 05/05
Last: 05/12","First: 05/06
Last: 05/23","First: 05/13
Last: 05/26",No data,"First: 05/03
Last: 05/12",No data,No data,No data
2024 Rancho Jamul - Main Pond 1,"First: On or before 03/26
Last: 04/10","First: 04/09
Last: 04/13",No data,No data,"First: 05/19
Last: 05/22",No data,"First: 04/29
Last: 05/06",No data,"First: 05/26
Last: 05/26","First: 06/09
Last: 07/09","First: 05/01
Last: 05/13","First: 05/23
Last: 05/28",No data,"First: 06/18
Last: 06/18","First: 07/29
Last: 07/30","First: 05/29
Last: 06/21",No data,No data,"First: 07/04
Last: 07/24",No data
2024 Rancho Jamul - Main Pond 2,"First: On or before 03/26
Last: 04/10","First: 04/09
Last: 04/11",No data,No data,"First: 05/19
Last: 05/19","First: 04/27
Last: 04/27","First: 05/17
Last: 05/17",No data,No data,"First: 06/09
Last: 06/10","First: 05/13
Last: 05/13",No data,No data,"First: 06/19
Last: On or after 07/06","First: 06/26
Last: On or after 07/06","First: 05/29
Last: 06/22",No data,No data,No data,No data
2024 Rancho Jamul - North Pond
2024 SJWA Thistle NW of Bridge Street Pond,No data,No data,"First: 06/06
Last: 06/06","First: On or before 06/05
Last: 06/10",No data,No data,"First: 06/06
Last: 06/06",No data,No data,No data
2024 Sedgwick,"First: On or before 04/04
Last: 04/29",No data,No data,"First: 04/24
Last: 06/04","First: 05/08
Last: 05/08",No data,No data,No data,No data,"First: 05/30
Last: 05/30"
2024 WA Harder Spring,No data,No data,No data,No data,"First: 06/25
Last: 06/25",No data,No data,No data,"First: 07/20
Last: 07/23","First: 07/27
Last: On or after 08/03"
2024 WA McCain Pond,No data,No data,No data,No data,"First: 05/15
Last: 05/15",No data,"First: 04/20
Last: 04/21",No data,"First: 05/14
Last: 05/14","First: 05/31
Last: 06/01"
2024 Wind Wolves Preserve - Los Lobos fix lat lon,"First: On or before 04/30
Last: 05/12",No data,No data,"First: 05/05
Last: 05/07","First: 05/11
Last: 05/13",No data,"First: 05/14
Last: 05/14",No data,"First: 05/26
Last: 05/26","First: 06/02
Last: 06/13"
2024 Wind Wolves Preserve - Pleitito,No data,"First: On or before 04/27
Last: 04/27",No data,"First: On or before 04/27
Last: 04/29","First: 05/02
Last: 05/04",No data,No data,No data,No data,"First: 05/25
Last: 05/26"
2024 Wind Wolves Preserve - Santiago,"First: On or before 04/30
Last: 05/16",No data,No data,"First: On or before 04/30
Last: 05/11","First: 05/04
Last: 06/12",No data,No data,No data,"First: 05/27
Last: 05/29","First: 06/28
Last: 07/02"
2024 Wind Wolves Preserve - Tevis fix lat lon,No data,"First: 05/04
Last: 05/04",No data,"First: 05/04
Last: 05/07","First: 05/17
Last: 05/28"
