Site	Date	Recording_Name	Row_Index	Error_Type	Column	Invalid_Value
2017 Rush Ranch	2017-03-05 08:00:00	Rush_Ranch-2017-03-05_08-00.flac	203	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 08:00:00	Rush_Ranch-2017-03-05_08-00.flac	203	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 09:00:00	Rush_Ranch-2017-03-05_09-00.flac	206	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 09:00:00	Rush_Ranch-2017-03-05_09-00.flac	206	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 09:00:00	Rush_Ranch-2017-03-05_09-00.flac	206	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 10:00:00	Rush_Ranch-2017-03-05_10-00.flac	209	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 10:00:00	Rush_Ranch-2017-03-05_10-00.flac	209	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 10:00:00	Rush_Ranch-2017-03-05_10-00.flac	209	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 11:00:00	Rush_Ranch-2017-03-05_11-00.flac	212	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 11:00:00	Rush_Ranch-2017-03-05_11-00.flac	212	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 11:00:00	Rush_Ranch-2017-03-05_11-00.flac	212	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 12:00:00	Rush_Ranch-2017-03-05_12-00.flac	215	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 12:00:00	Rush_Ranch-2017-03-05_12-00.flac	215	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 12:00:00	Rush_Ranch-2017-03-05_12-00.flac	215	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 13:00:00	Rush_Ranch-2017-03-05_13-00.flac	218	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 13:00:00	Rush_Ranch-2017-03-05_13-00.flac	218	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 13:00:00	Rush_Ranch-2017-03-05_13-00.flac	218	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 14:00:00	Rush_Ranch-2017-03-05_14-00.flac	220	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 14:00:00	Rush_Ranch-2017-03-05_14-00.flac	220	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 14:00:00	Rush_Ranch-2017-03-05_14-00.flac	220	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 15:00:00	Rush_Ranch-2017-03-05_15-00.flac	223	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 15:00:00	Rush_Ranch-2017-03-05_15-00.flac	223	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 15:00:00	Rush_Ranch-2017-03-05_15-00.flac	223	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 16:00:00	Rush_Ranch-2017-03-05_16-00.flac	226	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 16:00:00	Rush_Ranch-2017-03-05_16-00.flac	226	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 16:00:00	Rush_Ranch-2017-03-05_16-00.flac	226	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 17:00:00	Rush_Ranch-2017-03-05_17-00.flac	229	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 17:00:00	Rush_Ranch-2017-03-05_17-00.flac	229	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 17:00:00	Rush_Ranch-2017-03-05_17-00.flac	229	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 18:00:00	Rush_Ranch-2017-03-05_18-00.flac	232	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 18:00:00	Rush_Ranch-2017-03-05_18-00.flac	232	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 18:00:00	Rush_Ranch-2017-03-05_18-00.flac	232	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 19:00:00	Rush_Ranch-2017-03-05_19-00.flac	235	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 19:00:00	Rush_Ranch-2017-03-05_19-00.flac	235	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 19:00:00	Rush_Ranch-2017-03-05_19-00.flac	235	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 20:00:00	Rush_Ranch-2017-03-05_20-00.flac	238	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 20:00:00	Rush_Ranch-2017-03-05_20-00.flac	238	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 20:00:00	Rush_Ranch-2017-03-05_20-00.flac	238	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 06:00:00	Rush_Ranch-2017-03-06_06-00.flac	267	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 06:00:00	Rush_Ranch-2017-03-06_06-00.flac	267	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 06:00:00	Rush_Ranch-2017-03-06_06-00.flac	267	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 07:00:00	Rush_Ranch-2017-03-06_07-00.flac	270	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 07:00:00	Rush_Ranch-2017-03-06_07-00.flac	270	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 07:00:00	Rush_Ranch-2017-03-06_07-00.flac	270	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 08:00:00	Rush_Ranch-2017-03-06_08-00.flac	273	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 08:00:00	Rush_Ranch-2017-03-06_08-00.flac	273	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 08:00:00	Rush_Ranch-2017-03-06_08-00.flac	273	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 09:00:00	Rush_Ranch-2017-03-06_09-00.flac	276	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 09:00:00	Rush_Ranch-2017-03-06_09-00.flac	276	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 09:00:00	Rush_Ranch-2017-03-06_09-00.flac	276	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 10:00:00	Rush_Ranch-2017-03-06_10-00.flac	279	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 10:00:00	Rush_Ranch-2017-03-06_10-00.flac	279	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 10:00:00	Rush_Ranch-2017-03-06_10-00.flac	279	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 11:00:00	Rush_Ranch-2017-03-06_11-00.flac	282	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 11:00:00	Rush_Ranch-2017-03-06_11-00.flac	282	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 11:00:00	Rush_Ranch-2017-03-06_11-00.flac	282	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 12:00:00	Rush_Ranch-2017-03-06_12-00.flac	285	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 12:00:00	Rush_Ranch-2017-03-06_12-00.flac	285	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 12:00:00	Rush_Ranch-2017-03-06_12-00.flac	285	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 13:00:00	Rush_Ranch-2017-03-06_13-00.flac	288	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 13:00:00	Rush_Ranch-2017-03-06_13-00.flac	288	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 13:00:00	Rush_Ranch-2017-03-06_13-00.flac	288	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 14:00:00	Rush_Ranch-2017-03-06_14-00.flac	291	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 14:00:00	Rush_Ranch-2017-03-06_14-00.flac	291	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 14:00:00	Rush_Ranch-2017-03-06_14-00.flac	291	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 15:00:00	Rush_Ranch-2017-03-06_15-00.flac	294	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 15:00:00	Rush_Ranch-2017-03-06_15-00.flac	294	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 15:00:00	Rush_Ranch-2017-03-06_15-00.flac	294	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 16:00:00	Rush_Ranch-2017-03-06_16-00.flac	297	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 16:00:00	Rush_Ranch-2017-03-06_16-00.flac	297	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 16:00:00	Rush_Ranch-2017-03-06_16-00.flac	297	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-06 17:00:00	Rush_Ranch-2017-03-06_17-00.flac	300	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 17:00:00	Rush_Ranch-2017-03-06_17-00.flac	300	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 18:00:00	Rush_Ranch-2017-03-06_18-00.flac	303	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-06 18:00:00	Rush_Ranch-2017-03-06_18-00.flac	303	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-06 18:00:00	Rush_Ranch-2017-03-06_18-00.flac	303	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 06:00:00	Rush_Ranch-2017-03-07_06-00.flac	339	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 06:00:00	Rush_Ranch-2017-03-07_06-00.flac	339	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 06:00:00	Rush_Ranch-2017-03-07_06-00.flac	339	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 07:00:00	Rush_Ranch-2017-03-07_07-00.flac	342	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 07:00:00	Rush_Ranch-2017-03-07_07-00.flac	342	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 07:40:00	Rush_Ranch-2017-03-07_07-40.flac	344	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 07:40:00	Rush_Ranch-2017-03-07_07-40.flac	344	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 09:00:00	Rush_Ranch-2017-03-07_09-00.flac	348	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 09:00:00	Rush_Ranch-2017-03-07_09-00.flac	348	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 09:00:00	Rush_Ranch-2017-03-07_09-00.flac	348	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 10:00:00	Rush_Ranch-2017-03-07_10-00.flac	351	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 10:00:00	Rush_Ranch-2017-03-07_10-00.flac	351	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 10:00:00	Rush_Ranch-2017-03-07_10-00.flac	351	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 11:00:00	Rush_Ranch-2017-03-07_11-00.flac	354	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 11:00:00	Rush_Ranch-2017-03-07_11-00.flac	354	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 11:00:00	Rush_Ranch-2017-03-07_11-00.flac	354	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 12:00:00	Rush_Ranch-2017-03-07_12-00.flac	357	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 12:00:00	Rush_Ranch-2017-03-07_12-00.flac	357	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 12:00:00	Rush_Ranch-2017-03-07_12-00.flac	357	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 13:00:00	Rush_Ranch-2017-03-07_13-00.flac	360	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 13:00:00	Rush_Ranch-2017-03-07_13-00.flac	360	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 13:00:00	Rush_Ranch-2017-03-07_13-00.flac	360	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 14:00:00	Rush_Ranch-2017-03-07_14-00.flac	363	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 14:00:00	Rush_Ranch-2017-03-07_14-00.flac	363	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 14:00:00	Rush_Ranch-2017-03-07_14-00.flac	363	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 15:00:00	Rush_Ranch-2017-03-07_15-00.flac	366	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 15:00:00	Rush_Ranch-2017-03-07_15-00.flac	366	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 15:00:00	Rush_Ranch-2017-03-07_15-00.flac	366	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-07 16:00:00	Rush_Ranch-2017-03-07_16-00.flac	369	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 16:00:00	Rush_Ranch-2017-03-07_16-00.flac	369	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 17:00:00	Rush_Ranch-2017-03-07_17-00.flac	372	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 17:00:00	Rush_Ranch-2017-03-07_17-00.flac	372	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 18:00:00	Rush_Ranch-2017-03-07_18-00.flac	375	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-07 18:00:00	Rush_Ranch-2017-03-07_18-00.flac	375	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-07 18:00:00	Rush_Ranch-2017-03-07_18-00.flac	375	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
