Site_ID,Site_Name,Pulse Name,Outcome,Calculated_Outcome,Breeding_Type,Hatch_Date,Earliest_Rec,Incubation_Days,Total_Female_Calls,Avg_Female_Calls_Day,Latest_Rec,Nestling_Days,Total_Nestling_Calls,Avg_Nestling_Calls_Day,ARI,Latest_Fledgling_Rec,Fledgling_Days,Total_Fledgling_Calls,Avg_Fledgling_Calls_Day,Fledglings_Present,Substrate,Approx_Size,Comment
21591,2021 Conaway West,2021 Conaway West p1,Successful,Unknown,Simple,2021-06-02,2021-05-23,10,4,0.4,2021-06-13,10,8,0.8,2.0,2021-06-27,15,41,2.733,True,Cattails with bulrush,10000,
21668,2021 Foley Ranch,2021 Foley Ranch p1,Successful,Unknown,Sequential,2021-05-12,2021-05-04,8,179,22.375,2021-05-23,10,281,28.1,1.256,2021-06-06,15,298,19.867,True,NEED,NEED,
21688,2021 Hale Road 2,2021 Hale Road 2 p1,Successful,Unknown,Simple,2021-05-13,2021-05-04,9,275,30.556,2021-05-24,10,235,23.5,0.769,2021-06-07,15,170,11.333,True,"Himalayan blackberry, bulrush",7000,
24233,2021 Panoche Creek Preserve 1W,2021 Panoche Creek Marsh East 1 p1,Partially Abandoned,Unknown,Simple,2021-05-02,2021-04-22,10,121,12.1,2021-05-13,10,2,0.2,0.017,2021-05-27,15,4,0.267,True,Cattails,NEED,
24232,2021 Panoche Creek Preserve 2E,2021 Panoche Creek Marsh East 2 p1,Successful,Unknown,Simple,2021-04-30,2021-04-20,10,157,15.7,2021-05-11,10,94,9.4,0.599,2021-05-25,15,31,2.067,True,Cattails,NEED,
24231,2021 Rodeo Grounds 1,2021 Rodeo Grounds p1,Successful,Unknown,Simple,2021-05-02,2021-04-22,10,311,31.1,2021-05-13,10,253,25.3,0.814,2021-05-27,15,175,11.667,True,Himalayan blackberry,40,
24261,2021 Willey Wetlands 2,2021 Willey Wetlands 2 p1,Successful,Unknown,Simple,2021-06-12,2021-06-03,9,27,3.0,2021-06-23,10,177,17.7,5.9,2021-07-07,15,160,10.667,True,"Bulrush, cattails",A few hundred,
24790,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve p1,Successful,Unknown,Simple,2021-05-14,2021-05-04,10,160,16.0,2021-05-25,10,41,4.1,0.256,2021-06-08,15,48,3.2,True,NEED,NEED,
34485,2022 Baja 1,2022 Baja Ciénega Redonda North p1,Successful,Unknown,Simple,2022-04-14,2022-04-04,10,52,5.2,2022-04-25,10,116,11.6,2.231,2022-05-09,15,263,17.533,True,Cattails,NEED,
53136,2022 Baja 2,2022 Baja Ciénega Redonda North 2 p1,Successful,Unknown,Simple,2022-04-15,2022-04-05,10,37,3.7,2022-04-26,10,189,18.9,5.108,2022-05-10,15,294,19.6,True,Cattails,---,
34079,2022 Colusa NWR T27.2,2022 Colusa NWR T27.2 p1,Successful,Unknown,Simple,2022-05-31,2022-05-21,10,17,1.7,2022-06-11,10,29,2.9,1.706,2022-06-25,15,41,2.733,True,"Bulrush, cattails",4000,
34112,2022 Conaway North,2022 Conaway North p1,Successful,Unknown,Simple,2022-05-21,2022-05-11,10,731,73.1,2022-06-01,10,588,58.8,0.804,2022-06-15,15,980,65.333,True,"Cattails, Himalayan blackberry, willow",15000,
34113,2022 Conaway North A,2022 Conaway North A p1,Successful,Unknown,Simple,2022-05-22,2022-05-12,10,389,38.9,2022-06-02,10,362,36.2,0.931,2022-06-16,15,682,45.467,True,"Cattails, Himalayan blackberry, willow",15000,
34115,2022 Conaway East,2022 Conaway Ranch Reservoir p1,Partially Abandoned,Unknown,Simple,2022-05-23,2022-05-13,10,234,23.4,2022-06-03,10,50,5.0,0.214,2022-06-17,15,129,8.6,True,Himalayan blackberry,NEED,
34078,2022 Creed Road,2022 Denverton Creek p1,Successful,Unknown,Simple,2022-04-15,2022-04-05,10,242,24.2,2022-04-26,10,269,26.9,1.112,2022-05-10,15,407,27.133,True,Himalayan blackberry,1000,
33966,2022 Hay Landfill,2022 Hay Landfill p1,Partially Abandoned,Unknown,Sequential,2022-04-12,2022-04-02,10,125,12.5,2022-04-23,10,23,2.3,0.184,2022-05-07,15,160,10.667,True,"Bulrush, cattails",4000,
33966,2022 Hay Landfill,2022 Hay Landfill p2,Successful,Unknown,Sequential,2022-05-19,2022-05-09,10,17,1.7,2022-05-30,10,11,1.1,0.647,2022-06-13,15,36,2.4,True,"Bulrush, cattails",4000,
34073,2022 OR2,2022 Oregon State - Prineville Woodward Rd p1,Successful,Unknown,Simple,2022-05-16,2022-05-06,10,6,0.6,2022-05-27,10,0,0.0,0.0,2022-06-03,8,45,5.625,True,Cattails,40-80,
34071,2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond p1,Successful,Unknown,Simple,2022-04-22,2022-04-12,10,31,3.1,2022-05-03,10,34,3.4,1.097,2022-05-17,15,117,7.8,True,"Bulrush, cattails",4000,
34072,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond B p1,Successful,Unknown,Simple,2022-04-26,2022-04-16,10,16,1.6,2022-05-07,10,23,2.3,1.437,2022-05-21,15,145,9.667,True,"Bulrush, cattails",4000,
34130,2022 Panoche Creek Preserve Loc5,2022 Panoche Creek Marsh East 2 p1,Successful,Unknown,Simple,2022-04-20,2022-04-14,6,95,15.833,2022-05-01,10,145,14.5,0.916,2022-05-15,15,90,6.0,True,NEED,NEED,
52597,2022 Panoche Creek Preserve Loc3,2022 Panoche Creek Preserve Location 3 p1,Successful,Unknown,Simple,2022-04-20,2022-04-10,10,98,9.8,2022-05-01,10,148,14.8,1.51,2022-05-15,15,65,4.333,True,NEED,NEED,
34013,2022 Plumas Arboga West,2022 Plumas Arboga 6 West p1,Successful,Unknown,Simple,2022-05-24,2022-05-14,10,755,75.5,2022-06-04,10,523,52.3,0.693,2022-06-18,15,832,55.467,True,Himalayan blackberry,9000,
33985,2022 Sedgwick,2022 Sedgwick Reserve p1,Successful,Unknown,Sequential,2022-04-10,2022-03-31,10,41,4.1,2022-04-21,10,100,10.0,2.439,2022-05-05,15,194,12.933,True,"Bulrush, cattails",200,
33985,2022 Sedgwick,2022 Sedgwick Reserve p2,Successful,Unknown,Sequential,2022-05-21,2022-05-11,10,2,0.2,2022-06-01,10,228,22.8,114.0,2022-06-15,15,43,2.867,True,"Bulrush, cattails",200,
48459,2023 Laguna Fry Confluence - 45 Sump,2023 45 Sump p1,Successful,Unknown,Simple,2023-05-11,2023-05-01,10,281,28.1,2023-05-22,10,201,20.1,0.715,2023-06-05,15,185,12.333,True,Himalayan blackberry,NEED,
48455,2023 Colusa NWR T27.1,2023 Colusa NWR T27.1 p1,Partially Abandoned,Unknown,Simple,2023-07-16,2023-07-06,10,254,25.4,2023-07-27,10,109,10.9,0.429,2023-08-01,6,27,4.5,True,"Bulrush, cattails","2,000",
58629,2023 Colusa NWR T27.2,2023 Colusa NWR T27.2 p1,Successful,Unknown,Simple,2023-06-20,2023-06-10,10,87,8.7,2023-07-01,10,165,16.5,1.897,2023-07-15,15,244,16.267,True,"Bulrush, cattails","20,000",
48473,2023 Conaway Ranch - HQ,2023 Conaway Ranch Headquarters p1,Successful,Unknown,Simple,2023-06-13,2023-06-03,10,296,29.6,2023-06-24,10,262,26.2,0.885,2023-07-05,12,112,9.333,True,Himalayan blackberry,5000,
48474,2023 Conaway Ranch NE,2023 Conaway Ranch NE p1,Successful,Unknown,Simple,2023-06-11,2023-06-01,10,163,16.3,2023-06-22,10,88,8.8,0.54,2023-07-06,15,35,2.333,True,Himalayan blackberry,9000,
48477,2023 Conaway Ranch North 1,2023 Conaway Ranch North 1 p1,Successful,Unknown,Simple,2023-06-18,2023-06-08,10,325,32.5,2023-06-29,10,319,31.9,0.982,2023-07-13,15,382,25.467,True,"Himalayan blackberry, cattails",10000,
48476,2023 Conaway Ranch North 2,2023 Conaway Ranch North 2 p1,Successful,Unknown,Simple,2023-06-28,2023-06-18,10,295,29.5,2023-07-09,10,172,17.2,0.583,2023-07-23,15,457,30.467,True,"Himalayan blackberry, cattails",10000,
48463,2023 Hale Road,2023 Hale Road p1,Successful,Unknown,Sequential,2023-06-06,2023-05-27,10,462,46.2,2023-06-17,10,320,32.0,0.693,2023-07-01,15,478,31.867,True,"Himalayan blackberry, cattails",10000,
48468,2023 Hale Road Site 2,2023 Hale Road Site 2 p1,Successful,Unknown,Simple,2023-06-05,2023-05-26,10,441,44.1,2023-06-16,10,381,38.1,0.864,2023-06-30,15,526,35.067,True,"Himalayan blackberry, cattails",10000,
48470,2023 Kern - HQ2,2023 Kern - Headquarters 2 p1,Successful,Unknown,Sequential,2023-06-08,2023-05-29,10,127,12.7,2023-06-19,10,243,24.3,1.913,2023-07-03,15,429,28.6,True,Sandbar Willow,100,
48470,2023 Kern - HQ2,2023 Kern - Headquarters 2 p2,Successful,Unknown,Sequential,2023-07-05,2023-06-25,10,19,1.9,2023-07-16,10,107,10.7,5.632,2023-07-30,15,166,11.067,True,Sandbar Willow,100,
48465,2023 Laguna Fry Confluence - Site 1,2023 Laguna Fry Confluence 3 p1,Successful,Unknown,Simple,2023-05-17,2023-05-09,8,242,30.25,2023-05-28,10,214,21.4,0.707,2023-06-10,14,104,7.429,True,NEED,NEED,
48458,2023 Weagell Property 2,2023 Laguna Frye Confluence 2 p1,Successful,Unknown,Sequential,2023-05-19,2023-05-09,10,85,8.5,2023-05-30,10,115,11.5,1.353,2023-06-13,15,307,20.467,True,"Himalayan blackberry, cattails",17500,
48444,2023 Los Vaqueros Reservoir,2023 Los Vaqueros Reservoir p1,Successful,Unknown,Sequential,2023-04-28,2023-04-18,10,238,23.8,2023-05-09,10,303,30.3,1.273,2023-05-23,15,407,27.133,True,Himalayan blackberry,2000,
48444,2023 Los Vaqueros Reservoir,2023 Los Vaqueros Reservoir p2,Successful,Unknown,Sequential,2023-06-15,2023-06-05,10,49,4.9,2023-06-26,10,116,11.6,2.367,2023-07-10,15,314,20.933,True,Himalayan blackberry,2000,
48436,2023 Markham Ravine,2023 Markham Ravine p1,Partially Abandoned,Unknown,Simple,2023-05-31,2023-05-21,10,89,8.9,2023-06-11,10,26,2.6,0.292,2023-06-25,15,198,13.2,True,"Himalayan blackberry, willow",3000-4000,
48446,2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood Trail p2,Partially Abandoned,Unknown,Sequential,2023-05-25,2023-05-15,10,58,5.8,2023-06-05,10,0,0.0,0.0,2023-06-16,12,9,0.75,True,"Buttonwillow, milk thistle",ND,
48448,2023 North Regional Pond,2023 North Regional Pond p1,Successful,Unknown,Simple,2023-05-05,2023-04-25,10,7,0.7,2023-05-16,10,6,0.6,0.857,2023-05-30,15,119,7.933,True,"Mustard, milk thistle",150,
48397,2023 OR Dizney Rd,2023 Oregon State - Dizney Rd p1,Partially Abandoned,Unknown,Simple,2023-05-19,2023-05-09,10,145,14.5,2023-05-30,10,18,1.8,0.124,2023-06-13,15,9,0.6,True,"Cattails, Himalayan blackberry",75-100,
48445,2023 OR Prineville North,2023 Oregon State - Prineville Grimes Rd p1,Successful,Unknown,Sequential,2023-05-15,2023-05-05,10,126,12.6,2023-05-26,10,313,31.3,2.484,2023-06-09,15,47,3.133,True,Cattails,50-75,
48445,2023 OR Prineville North,2023 Oregon State - Prineville Grimes Rd p2,Successful,Unknown,Sequential,2023-06-21,2023-06-11,10,64,6.4,2023-07-02,10,130,13.0,2.031,2023-07-15,14,46,3.286,True,Cattails,50-75,
48475,2023 Plumas Arboga 2,2023 Plumas Arboga 2 p1,Successful,Unknown,Simple,2023-06-07,2023-05-28,10,401,40.1,2023-06-18,10,348,34.8,0.868,2023-07-02,15,358,23.867,True,Himalayan blackberry,7000,
48437,2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 p1,Partially Abandoned,Unknown,Sequential,2023-05-06,2023-04-26,10,254,25.4,2023-05-17,10,96,9.6,0.378,2023-05-31,15,10,0.667,True,Himalayan blackberry,4000,
48437,2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 p2,Successful,Unknown,Sequential,2023-06-15,2023-06-05,10,254,25.4,2023-06-26,10,320,32.0,1.26,2023-07-08,13,347,26.692,True,Himalayan blackberry,4000,
48764,2023 Rancho Jamul North Pond - fix lat lon,2023 Rancho Jamul - North Pond p1,Successful,Unknown,Simple,2023-05-16,2023-05-06,10,1,0.1,2023-05-26,9,30,3.333,33.333,2023-06-06,11,9,0.818,True,NEED,NEED,
48765,2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul - Site 1 p1,Successful,Unknown,Sequential,2023-04-25,2023-04-15,10,5,0.5,2023-05-06,10,13,1.3,2.6,2023-05-20,15,7,0.467,True,NEED,NEED,
48765,2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul - Site 1 p2,Successful,Unknown,Sequential,2023-06-18,2023-06-08,10,18,1.8,2023-06-29,10,11,1.1,0.611,2023-07-13,15,5,0.333,True,NEED,NEED,
48439,2023 West of Davis,2023 San Jacinto Wildlife Area West of Davis p2,Successful,Unknown,Sequential,2023-05-22,2023-05-12,10,59,5.9,2023-06-02,10,122,12.2,2.068,2023-06-16,15,62,4.133,True,Cattails,1250,
48464,2023 San Luis NWR - West Bank Creek,2023 San Luis NWR - Fiddleneck Lake p1,Partially Abandoned,Unknown,Simple,2023-06-15,2023-06-05,10,88,8.8,2023-06-26,10,18,1.8,0.205,2023-07-10,15,10,0.667,True,"Milk thistle, mustard",500,
48447,2023 San Luis Bear Creek,2023 San Luis NWR - Tanager Slough p1,Partially Abandoned,Unknown,Simple,2023-07-05,2023-06-25,10,294,29.4,2023-07-16,10,143,14.3,0.486,2023-07-24,9,10,1.111,True,Willows,200-900,
48393,2023 WA McCain Wetlands,2023 Washington State - McCain Wetlands p1,Partially Abandoned,Unknown,Simple,2023-05-15,2023-05-05,10,72,7.2,2023-05-26,10,24,2.4,0.333,2023-06-09,15,12,0.8,True,"Cattails, Common reed",200,
65447,2024 Baja Rancho Cinega Redonda 2,2024 Baja Ciénega Redonda South p1,Successful,Unknown,Sequential,2024-04-29,2024-04-23,6,100,16.667,2024-05-10,10,283,28.3,1.698,2024-05-24,15,377,25.133,True,Cattails,100,
65447,2024 Baja Rancho Cinega Redonda 2,2024 Baja Ciénega Redonda South p2,Successful,Unknown,Sequential,2024-06-04,2024-05-25,10,99,9.9,2024-06-15,10,318,31.8,3.212,2024-06-29,15,88,5.867,True,Cattails,100,
65453,2024 Colusa NWR T27.1,2024 Colusa NWR T27.1 p1,Partially Abandoned,Unknown,Simple,2024-06-13,2024-06-03,10,182,18.2,2024-06-24,10,24,2.4,0.132,2024-07-08,15,1,0.067,True,"Bulrush, cattails","17,500",
63115,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024 Dagnino Pond p1,Successful,Unknown,Simple,2024-05-29,2024-05-21,8,12,1.5,2024-06-09,10,25,2.5,1.667,2024-06-23,15,110,7.333,True,NEED,NEED,
63044,2024 Los Vaqueros Reservoir,2024 Los Vaqueros Reservoir p1,Partially Abandoned,Unknown,Sequential,2024-05-05,2024-04-25,10,11,1.1,2024-05-16,10,0,0.0,0.0,2024-05-30,15,3,0.2,True,Himalayan blackberry,500,
63044,2024 Los Vaqueros Reservoir,2024 Los Vaqueros Reservoir p2,Successful,Unknown,Sequential,2024-06-09,2024-05-30,10,356,35.6,2024-06-20,10,186,18.6,0.522,2024-06-24,5,30,6.0,True,Himalayan blackberry,500,
65471,2024 Panoche Creek Preserve - Dollar Marsh East,2024 Panoche Creek Marsh East p1,Successful,Unknown,Simple,2024-04-29,2024-04-19,10,277,27.7,2024-05-10,10,247,24.7,0.892,2024-05-24,15,342,22.8,True,"Cattails, bulrush",1000-1500,
65469,2024 Panoche Creek Preserve - Dollar Marsh South,2024 Panoche Creek Marsh South p1,Successful,Unknown,Simple,2024-05-01,2024-04-21,10,313,31.3,2024-05-12,10,204,20.4,0.652,2024-05-26,15,60,4.0,True,"Cattails, bulrush",Several hundred,
65470,2024 Panoche Creek Preserve - Dollar Marsh West,2024 Panoche Creek Marsh West p1,Successful,Unknown,Simple,2024-05-05,2024-04-25,10,277,27.7,2024-05-16,10,280,28.0,1.011,2024-05-29,14,137,9.786,True,"Cattails, bulrush",NEED,
63116,2024 WA Harder Spring,2024 Washington State - Harder Spring p1,Successful,Unknown,Sequential,2024-06-07,2024-05-28,10,8,0.8,2024-06-18,10,1,0.1,0.125,2024-07-02,15,27,1.8,True,"Bulrush, cattails, common reed",100,
63116,2024 WA Harder Spring,2024 Washington State - Harder Spring p2,Successful,Unknown,Sequential,2024-07-18,2024-07-08,10,10,1.0,2024-07-29,10,42,4.2,4.2,2024-08-03,6,51,8.5,True,"Bulrush, cattails, common reed",100,
63465,2024 WA McCain Pond,2024 Washington State - McCain Wetlands p1,Partially Abandoned,Unknown,Simple,2024-05-10,2024-04-30,10,46,4.6,2024-05-21,10,13,1.3,0.283,2024-06-04,15,28,1.867,True,"Cattails, common reed",600,
