soundscape_id,name,playlist_id,playlist_name,date_created,user_id,aggregation_type,bin_size,frequency,threshold,threshold_type,normalized,min_time_bucket,max_time_bucket,max_frequency,url
3558,PC thru 5-29,5845,PC soundscape thru 5-29,05/29/2018 23:28:20,560,day_of_year,86,0,0.016000001,relative-to-peak-maximum,0,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3558/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=479904916e19e14b923eaa35f8f89b4d85e64db044291ffc3250c790f3449c75&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
3597,IP try 3,6139,Iron Point day,06/29/2018 14:06:49,560,day_of_year,21,0,0.002,relative-to-peak-maximum,0,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3597/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=9e37a600e4f6a7d58da0cd246d99f0c91c6b523929ef992d5e85cfbfef2bede2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
3611,Iron Point Hourly,6191,Iron Point Hourly,07/05/2018 14:45:28,560,day_of_year,21,0,0.001,relative-to-peak-maximum,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3611/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=f92e3712607942d24cc1557f660d9e0fa20121955f05584a2636e5857d44d43d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
3647,PC02 thru 7/4,6194,PC02 5a-8p thru 7/4,07/09/2018 02:26:11,560,day_of_year,21,0,0.001,relative-to-peak-maximum,0,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3647/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=48aea0fdfe1d3cd106d1f52c5a928ef0b7d80a2f7e4d54774e5796cffef427fa&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
3704,RR 2018,6317,RR 2018 5:00-20:40,07/22/2018 16:43:16,560,day_of_year,21,0,0.286000013,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3704/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=3c8524599ef17537d8cb5d5dd60f6cdb723126edf9467adc809b7c02aca5a208&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5268,RR 2018 7-7,8628,RR 2018 7-7,04/04/2019 03:18:25,560,day_of_year,86,0,0,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5268/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=c2e6d7b19db5dafd31574eab488fbdc28e78e1c1e9223a10c62ad59525545c1d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5269,RR2018 7-7,8628,RR 2018 7-7,04/04/2019 03:21:52,560,day_of_year,86,0,0,relative-to-peak-maximum,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5269/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=db7168583479af346f439f829d2d3a435570586136bdc7511237843edcd6bb6d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5270,RR 2018 5-9,8629,RR 2018 5-9,04/04/2019 18:43:48,560,day_of_year,21,0,0.100000001,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5270/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=de19893158d9467c1a2ae1dbe40b78508af22ec1f7ab9ab7f5a7850f23f82860&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5273,RR 2017 7:00am-6:40pm,8647,RR 2017 7:00am-6:40pm,04/18/2019 18:36:34,560,day_of_year,21,0,0.100000001,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5273/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=1daeaa489f9042fc74eb7a11a18faacde48eaad356bb94cfdbf4a7447da01043&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5274,2019 test,2631,"4-1 to 4-8, Adults recordings sample",05/18/2019 13:49:18,560,day_of_year,21,0,0,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5274/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=da09359cf670163e4ebcd01f3ca6fbb1a6186fae694cc3663832e29156643c3a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5275,2019 IP upto 5/19,8694,2019 old Iron Point through 5/15/2019,05/18/2019 14:35:04,560,day_of_year,21,0,0,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5275/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=b838cc8283e3281e7a4b10320722078b99543903b990b68f329306dffae08aa3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5276,2019 Iron Point through 5/15/2019,8694,2019 old Iron Point through 5/15/2019,05/18/2019 14:35:06,560,day_of_year,21,0,0,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5276/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=b6ac2238c07da2ddaaaff55613a82590af19c328f113bc376ab343a36017d32d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5277,2019 IP through 5/19,8694,2019 old Iron Point through 5/15/2019,05/18/2019 14:35:07,560,day_of_year,21,0,0,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5277/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=8d305ff20627ec8705b58aff9461c5f31d74aaf6693dc6d057b3e6e79a7050aa&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5308,2019 Markham Ravine,8845,2019 Markham Ravine 7am-6:40pm,07/05/2019 17:33:20,560,day_of_year,21,0,0.050099999,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5308/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=0fdf40c955ba2212db4efd95cc0c599bc4c68ec44e4984417c3d58e7d52c4fd0&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5671,2019 CR hourly 7am-7pm,10006,2019 CR hourly 7am-7pm,03/29/2020 22:30:43,560,day_of_year,21,0,1,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5671/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=96a1faa1fa315e139cb02b85e6998e409c0a4509f286746b3057321899cf8abb&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5684,2019 Hay Landfill hourly 7am-7pm,10017,2019 old Hay Landfill hourly 7am-7pm,04/01/2020 20:54:31,560,day_of_year,21,0,1,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5684/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=6f018f15243e10c3932977cb0c169f1215778351f0509504dccfb3f20c1b2241&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
5713,CNWR 27-1 AM 7am-7pm,10143,CNWR 27-1 AM 7am-7pm,05/10/2020 15:33:52,560,day_of_year,21,0,0.492000014,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/5713/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=c04aa822a93720c24fc4e6b63bfaef471ecc90a1f8adf2fbd4cbd6bad9f45e0f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6831,2021 Sedgwick Reserve,15727,2021 Sedgwic Reserve 8am-5:40pm,12/12/2021 20:53:58,2511,day_of_year,21,0,0.419,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6831/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=cd669238a3df007d687dd1903b8fd3ca20ebcd9a46300685385326b34bb9635e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6972,2020 HL 8-12:40,15920,2021 HL 8am-12:40,12/20/2021 20:22:57,2511,day_of_year,21,0,1,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6972/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=0d1b6a0fb42ef5b4976ed707b36a1d492cd0006e8bba0202b81edd342f57f3ff&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6974,2021 PCP2E 08:00-17:40,15925,2021 PCP2E 08:00-17:40,12/23/2021 16:48:09,2511,day_of_year,21,0,0.5,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6974/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=2abcac51f3ed4bf961d70fd93037329e31704c966c45b8d3dafaef8d8f6cff55&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6979,2021 WW3,15738,2021 Willey Wetlands 3,12/27/2021 22:16:54,2511,day_of_year,21,0,0.349999994,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6979/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=cf3a5e350aaae9af34d48d95bcc00d3facedf4009648975801bf3fe12215e362&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6982,2021 Orchard Creek,15971,2021 OC 08:00-17:40,12/30/2021 03:39:03,2511,day_of_year,21,0,1,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6982/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=ebd02f6f389dfbe403467041ad81aa294bc3e7306c6e36fde05718668df76ead&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6985,2021 Plumas Arboga,15999,2021 Plumas Arboga 08:00-17:40,01/05/2022 01:11:22,2511,day_of_year,21,0,0.323000014,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6985/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=2ba56e6a1ea9338b45f87f0082acc835273e3a8b215c9ff107a53de0679c2e51&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6989,2021 PCP1W,16021,2021 PCP1W 0:800-17:40,01/09/2022 04:02:51,2511,day_of_year,21,0,0.397000015,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6989/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=cdd20a6d524a4f16d3bc117a05c562322d8a18f4ff67d1d6f8be1853dffca662&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
6999,2021 RCS,16067,2021 RCS 08:00-17:40,01/11/2022 01:09:11,2511,day_of_year,21,0,0.523999989,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/6999/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=604b454d19a3eae9a66f291fede722e3380e3043e47264df4595d81f20c42597&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
